5:12:24 PM [express] GET /api/schedule/weekly/1cfb4d65-e9ca-46e5-906c-3ff6a7ee9855/2025-08-08 304 in…
5:12:28 PM [express] GET /api/communications/1cfb4d65-e9ca-46e5-906c-3ff6a7ee9855/all 200 in 141ms
5:12:30 PM [express] GET /api/communications/1cfb4d65-e9ca-46e5-906c-3ff6a7ee9855/all 200 in 140ms
5:12:31 PM [express] GET /api/communications/1cfb4d65-e9ca-46e5-906c-3ff6a7ee9855/all 200 in 146ms
5:12:32 PM [express] GET /api/communications/1cfb4d65-e9ca-46e5-906c-3ff6a7ee9855/all 200 in 139ms
5:12:33 PM [express] GET /api/communications/1cfb4d65-e9ca-46e5-906c-3ff6a7ee9855/all 200 in 140ms
5:12:34 PM [express] GET /api/communications/1cfb4d65-e9ca-46e5-906c-3ff6a7ee9855/all 200 in 141ms
5:12:35 PM [express] GET /api/communications/1cfb4d65-e9ca-46e5-906c-3ff6a7ee9855/all 200 in 139ms
5:12:36 PM [express] GET /api/communications/1cfb4d65-e9ca-46e5-906c-3ff6a7ee9855/all 200 in 141ms
5:12:37 PM [express] GET /api/communications/1cfb4d65-e9ca-46e5-906c-3ff6a7ee9855/all 200 in 139ms
5:12:38 PM [express] GET /api/communications/1cfb4d65-e9ca-46e5-906c-3ff6a7ee9855/all 200 in 139ms
5:12:39 PM [express] GET /api/communications/1cfb4d65-e9ca-46e5-906c-3ff6a7ee9855/all 200 in 139ms
5:12:40 PM [express] GET /api/communications/1cfb4d65-e9ca-46e5-906c-3ff6a7ee9855/all 200 in 139ms
5:12:41 PM [express] GET /api/communications/1cfb4d65-e9ca-46e5-906c-3ff6a7ee9855/all 200 in 140ms
5:12:42 PM [express] GET /api/communications/1cfb4d65-e9ca-46e5-906c-3ff6a7ee9855/all 200 in 139ms
5:12:43 PM [express] GET /api/communications/1cfb4d65-e9ca-46e5-906c-3ff6a7ee9855/all 200 in 142ms
5:12:44 PM [express] GET /api/communications/1cfb4d65-e9ca-46e5-906c-3ff6a7ee9855/all 200 in 139ms
5:12:45 PM [express] GET /api/communications/1cfb4d65-e9ca-46e5-906c-3ff6a7ee9855/all 200 in 140ms
5:12:46 PM [express] GET /api/communications/1cfb4d65-e9ca-46e5-906c-3ff6a7ee9855/all 200 in 140ms
5:12:47 PM [express] GET /api/communications/1cfb4d65-e9ca-46e5-906c-3ff6a7ee9855/all 200 in 139ms
5:12:48 PM [express] GET /api/communications/1cfb4d65-e9ca-46e5-906c-3ff6a7ee9855/all 200 in 140ms
5:12:49 PM [express] GET /api/communications/1cfb4d65-e9ca-46e5-906c-3ff6a7ee9855/all 200 in 139ms
5:12:50 PM [express] GET /api/communications/1cfb4d65-e9ca-46e5-906c-3ff6a7ee9855/all 200 in 139ms
^C
